,id,title,is_paid,price,course_cover_image,headline,instructor,course_url,ratings
38,1259404,Character Art School: The Complete Character Drawing Course,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/1259404_72d4_15.jpg,"Learn How to Draw Characters Professionally, in One Complete Drawing Course - For Games, Manga, Animation and Comics",Scott Harris,https://www.udemy.com/course/character-art-school-complete-character-drawing/,4.6
39,1462428,Photography Masterclass: A Complete Guide to Photography,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/1462428_639f_8.jpg,The Best Online Professional Photography Class: How to Take Amazing Photos for Beginners & Advanced Photographers,Phil Ebiner,https://www.udemy.com/course/photography-masterclass-complete-guide-to-photography/,4.7
40,657932,Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/657932_c7e0_5.jpg,Created in collaboration with Epic Games. Learn C++ from basics while making your first 5 video games in Unreal,Sam Pattuzzi,https://www.udemy.com/course/unrealcourse/,4.7
41,1208634,Microsoft Power BI - The Practical Guide [2022 EDITION],TRUE,FREE,https://img-c.udemycdn.com/course/480x270/1208634_cd50_2.jpg,"Learn how to use Microsoft Power BI with Power BI Desktop, Power BI Pro (Service) and Power BI Mobile",Manuel Lorenz,https://www.udemy.com/course/powerbi-complete-introduction/,4.6
42,692188,The Python Mega Course: Build 10 Real World Applications,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/692188_9da7_29.jpg,"Become a Python programmer by learning how to build any Python program from scratch, GUIs, web apps, APIs, and more.",Ardit Sulce,https://www.udemy.com/course/the-python-mega-course/,4.6
43,1430746,The Complete Web Developer in 2022: Zero to Mastery,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/1430746_2f43_10.jpg,"Learn to code and become a Web Developer in 2022 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",Andrei Neagoie,https://www.udemy.com/course/the-complete-web-developer-zero-to-mastery/,4.7
44,1035000,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/1035000_c1aa_6.jpg,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, Swarm and Registry using DevOps",Bret Fisher,https://www.udemy.com/course/docker-mastery/,4.6
45,382002,C# Basics for Beginners: Learn C# Fundamentals by Coding,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/382002_5d4a.jpg,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",Mosh Hamedani,https://www.udemy.com/course/csharp-tutorial-for-beginners/,4.5
46,995016,Vue - The Complete Guide (incl. Router & Composition API),TRUE,FREE,https://img-c.udemycdn.com/course/480x270/995016_ebf4_3.jpg,Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,Maximilian Schwarzm??ller,https://www.udemy.com/course/vuejs-2-the-complete-guide/,4.7
47,655608,Productivity and Time Management for the Overwhelmed,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/655608_270e_4.jpg,A complete productivity and time management course designed to help you reduce your overwhelm and increase your results.,Josh Paulsen,https://www.udemy.com/course/productivity-and-time-management/,4.5
48,438522,Complete Blender Creator: Learn 3D Modelling for Beginners,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/438522_500f_6.jpg,"Use Blender to Create Beautiful 3D models for Video Games, 3D Printing & More. Beginners Level Course",GameDev.tv Team,https://www.udemy.com/course/blendertutorial/,4.7
49,637930,An Entire MBA in 1 Course:Award Winning Business School Prof,TRUE,FREE,https://img-c.udemycdn.com/course/480x270/637930_9a22_19.jpg,** #1 Best Selling Business Course! ** Everything You Need to Know About Business from Start-up to IPO,Chris Haroun,https://www.udemy.com/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/,4.6
